"青沥备开(矫焙备)喊/1技喊 林刮殿废牢备"

"C青沥备开(矫焙备)喊","青沥备开(矫焙备)喊","C楷飞喊","楷飞喊","矫痢","醚牢备荐 (疙)","巢磊牢备荐 (疙)","咯磊牢备荐 (疙)"
'27200," 巢备",'2301,"55技",2025,2449.0000,1223.0000,1226.0000
'27200," 巢备",'2302,"56技",2025,2367.0000,1184.0000,1183.0000
'27200," 巢备",'2303,"57技",2025,2474.0000,1236.0000,1238.0000
'27200," 巢备",'2304,"58技",2025,2433.0000,1180.0000,1253.0000
'27200," 巢备",'2305,"59技",2025,2088.0000,1071.0000,1017.0000
'27200," 巢备",'2601,"60技",2025,2247.0000,1041.0000,1206.0000
'27200," 巢备",'2602,"61技",2025,2248.0000,1019.0000,1229.0000
'27200," 巢备",'2603,"62技",2025,2184.0000,1043.0000,1141.0000
'27200," 巢备",'2604,"63技",2025,2516.0000,1207.0000,1309.0000
'27200," 巢备",'2605,"64技",2025,2610.0000,1201.0000,1409.0000
'27200," 巢备",'2801,"65技",2025,2525.0000,1151.0000,1374.0000
'27200," 巢备",'2802,"66技",2025,2599.0000,1157.0000,1442.0000
'27200," 巢备",'2803,"67技",2025,2246.0000,1028.0000,1218.0000
'27200," 巢备",'2804,"68技",2025,2430.0000,1107.0000,1323.0000
'27200," 巢备",'2805,"69技",2025,2128.0000,920.0000,1208.0000
'27200," 巢备",'3101,"70技",2025,2350.0000,1049.0000,1301.0000
'27200," 巢备",'3102,"71技",2025,1976.0000,889.0000,1087.0000
'27200," 巢备",'3103,"72技",2025,1851.0000,778.0000,1073.0000
'27200," 巢备",'3104,"73技",2025,1964.0000,847.0000,1117.0000
'27200," 巢备",'3105,"74技",2025,1540.0000,652.0000,888.0000
'27200," 巢备",'3301,"75技",2025,1485.0000,658.0000,827.0000
'27200," 巢备",'3302,"76技",2025,1586.0000,662.0000,924.0000
'27200," 巢备",'3303,"77技",2025,1651.0000,685.0000,966.0000
'27200," 巢备",'3304,"78技",2025,1457.0000,575.0000,882.0000
'27200," 巢备",'3305,"79技",2025,1090.0000,441.0000,649.0000
'27200," 巢备",'3601,"80技",2025,934.0000,336.0000,598.0000
'27200," 巢备",'3602,"81技",2025,1079.0000,416.0000,663.0000
'27200," 巢备",'3603,"82技",2025,1131.0000,438.0000,693.0000
'27200," 巢备",'3604,"83技",2025,1222.0000,465.0000,757.0000
'27200," 巢备",'3605,"84技",2025,1004.0000,364.0000,640.0000
'27200," 巢备",'3801,"85技",2025,824.0000,287.0000,537.0000
'27200," 巢备",'3802,"86技",2025,800.0000,278.0000,522.0000
'27200," 巢备",'3803,"87技",2025,623.0000,210.0000,413.0000
'27200," 巢备",'3804,"88技",2025,543.0000,179.0000,364.0000
'27200," 巢备",'3805,"89技",2025,432.0000,138.0000,294.0000
'27200," 巢备",'4101,"90技",2025,399.0000,114.0000,285.0000
'27200," 巢备",'4102,"91技",2025,309.0000,91.0000,218.0000
'27200," 巢备",'4103,"92技",2025,198.0000,58.0000,140.0000
'27200," 巢备",'4104,"93技",2025,169.0000,53.0000,116.0000
'27200," 巢备",'4105,"94技",2025,125.0000,23.0000,102.0000
'27200," 巢备",'4301,"95技",2025,72.0000,14.0000,58.0000
'27200," 巢备",'4302,"96技",2025,73.0000,10.0000,63.0000
'27200," 巢备",'4303,"97技",2025,44.0000,5.0000,39.0000
'27200," 巢备",'4304,"98技",2025,24.0000,5.0000,19.0000
'27200," 巢备",'4305,"99技",2025,12.0000,1.0000,11.0000
'27200," 巢备",'440,"100技 捞惑",2025,27.0000,4.0000,23.0000
'27230," 合备",'000,"拌",2025,409854.0000,202629.0000,207225.0000
'27230," 合备",'0401,"0技",2025,1768.0000,902.0000,866.0000
'27230," 合备",'0402,"1技",2025,1770.0000,920.0000,850.0000
'27230," 合备",'0403,"2技",2025,1612.0000,829.0000,783.0000
'27230," 合备",'0404,"3技",2025,1836.0000,924.0000,912.0000
'27230," 合备",'0405,"4技",2025,1925.0000,996.0000,929.0000
'27230," 合备",'0501,"5技",2025,2053.0000,1043.0000,1010.0000
'27230," 合备",'0502,"6技",2025,2299.0000,1207.0000,1092.0000
'27230," 合备",'0503,"7技",2025,2612.0000,1338.0000,1274.0000
'27230," 合备",'0504,"8技",2025,2785.0000,1393.0000,1392.0000
'27230," 合备",'0505,"9技",2025,3340.0000,1701.0000,1639.0000
'27230," 合备",'0701,"10技",2025,3530.0000,1825.0000,1705.0000
'27230," 合备",'0702,"11技",2025,3517.0000,1807.0000,1710.0000
'27230," 合备",'0703,"12技",2025,3483.0000,1760.0000,1723.0000
'27230," 合备",'0704,"13技",2025,3877.0000,1982.0000,1895.0000
'27230," 合备",'0705,"14技",2025,3831.0000,2000.0000,1831.0000
'27230," 合备",'1001,"15技",2025,3734.0000,1934.0000,1800.0000
'27230," 合备",'1002,"16技",2025,3568.0000,1787.0000,1781.0000
'27230," 合备",'1003,"17技",2025,3825.0000,1972.0000,1853.0000
'27230," 合备",'1004,"18技",2025,4184.0000,2149.0000,2035.0000
'27230," 合备",'1005,"19技",2025,4024.0000,2057.0000,1967.0000
'27230," 合备",'1201,"20技",2025,4197.0000,2044.0000,2153.0000
'27230," 合备",'1202,"21技",2025,4628.0000,2240.0000,2388.0000
'27230," 合备",'1203,"22技",2025,5142.0000,2694.0000,2448.0000
'27230," 合备",'1204,"23技",2025,4874.0000,2670.0000,2204.0000
'27230," 合备",'1205,"24技",2025,5430.0000,3035.0000,2395.0000
'27230," 合备",'1301,"25技",2025,5884.0000,3262.0000,2622.0000
'27230," 合备",'1302,"26技",2025,5240.0000,2870.0000,2370.0000
'27230," 合备",'1303,"27技",2025,4977.0000,2710.0000,2267.0000
'27230," 合备",'1304,"28技",2025,5317.0000,2820.0000,2497.0000
'27230," 合备",'1305,"29技",2025,5057.0000,2683.0000,2374.0000
'27230," 合备",'1501,"30技",2025,5417.0000,2915.0000,2502.0000
'27230," 合备",'1502,"31技",2025,5175.0000,2841.0000,2334.0000
'27230," 合备",'1503,"32技",2025,5143.0000,2804.0000,2339.0000
'27230," 合备",'1504,"33技",2025,5185.0000,2843.0000,2342.0000
'27230," 合备",'1505,"34技",2025,5101.0000,2722.0000,2379.0000
'27230," 合备",'1601,"35技",2025,4506.0000,2440.0000,2066.0000
'27230," 合备",'1602,"36技",2025,4688.0000,2550.0000,2138.0000
'27230," 合备",'1603,"37技",2025,4311.0000,2357.0000,1954.0000
'27230," 合备",'1604,"38技",2025,4378.0000,2335.0000,2043.0000
'27230," 合备",'1605,"39技",2025,4445.0000,2382.0000,2063.0000
'27230," 合备",'1801,"40技",2025,4584.0000,2421.0000,2163.0000
'27230," 合备",'1802,"41技",2025,4573.0000,2407.0000,2166.0000
'27230," 合备",'1803,"42技",2025,5266.0000,2596.0000,2670.0000
'27230," 合备",'1804,"43技",2025,5982.0000,2986.0000,2996.0000
'27230," 合备",'1805,"44技",2025,6174.0000,3041.0000,3133.0000
'27230," 合备",'1901,"45技",2025,6256.0000,3104.0000,3152.0000
'27230," 合备",'1902,"46技",2025,6338.0000,3088.0000,3250.0000
'27230," 合备",'1903,"47技",2025,5377.0000,2725.0000,2652.0000
'27230," 合备",'1904,"48技",2025,6251.0000,3005.0000,3246.0000
'27230," 合备",'1905,"49技",2025,6249.0000,3101.0000,3148.0000
'27230," 合备",'2101,"50技",2025,6731.0000,3222.0000,3509.0000
'27230," 合备",'2102,"51技",2025,7446.0000,3599.0000,3847.0000
'27230," 合备",'2103,"52技",2025,7777.0000,3686.0000,4091.0000
'27230," 合备",'2104,"53技",2025,7941.0000,3928.0000,4013.0000
'27230," 合备",'2105,"54技",2025,8106.0000,3988.0000,4118.0000
'27230," 合备",'2301,"55技",2025,7934.0000,3900.0000,4034.0000
'27230," 合备",'2302,"56技",2025,7874.0000,3799.0000,4075.0000
'27230," 合备",'2303,"57技",2025,8218.0000,4167.0000,4051.0000
'27230," 合备",'2304,"58技",2025,7584.0000,3663.0000,3921.0000
'27230," 合备",'2305,"59技",2025,6935.0000,3537.0000,3398.0000
'27230," 合备",'2601,"60技",2025,7065.0000,3374.0000,3691.0000
'27230," 合备",'2602,"61技",2025,6735.0000,3290.0000,3445.0000
'27230," 合备",'2603,"62技",2025,6403.0000,3088.0000,3315.0000
'27230," 合备",'2604,"63技",2025,7258.0000,3578.0000,3680.0000
'27230," 合备",'2605,"64技",2025,7312.0000,3544.0000,3768.0000
'27230," 合备",'2801,"65技",2025,6915.0000,3339.0000,3576.0000
'27230," 合备",'2802,"66技",2025,6650.0000,3214.0000,3436.0000
'27230," 合备",'2803,"67技",2025,5573.0000,2772.0000,2801.0000
'27230," 合备",'2804,"68技",2025,5555.0000,2764.0000,2791.0000
'27230," 合备",'2805,"69技",2025,5050.0000,2362.0000,2688.0000
'27230," 合备",'3101,"70技",2025,4984.0000,2242.0000,2742.0000
'27230," 合备",'3102,"71技",2025,4175.0000,1973.0000,2202.0000
'27230," 合备",'3103,"72技",2025,3822.0000,1708.0000,2114.0000
'27230," 合备",'3104,"73技",2025,4068.0000,1808.0000,2260.0000
'27230," 合备",'3105,"74技",2025,3221.0000,1458.0000,1763.0000
'27230," 合备",'3301,"75技",2025,3081.0000,1364.0000,1717.0000
'27230," 合备",'3302,"76技",2025,3232.0000,1400.0000,1832.0000
'27230," 合备",'3303,"77技",2025,3189.0000,1332.0000,1857.0000
'27230," 合备",'3304,"78技",2025,2876.0000,1175.0000,1701.0000
'27230," 合备",'3305,"79技",2025,2017.0000,841.0000,1176.0000
'27230," 合备",'3601,"80技",2025,1804.0000,721.0000,1083.0000
'27230," 合备",'3602,"81技",2025,2177.0000,808.0000,1369.0000
'27230," 合备",'3603,"82技",2025,2112.0000,783.0000,1329.0000
'27230," 合备",'3604,"83技",2025,2363.0000,944.0000,1419.0000
'27230," 合备",'3605,"84技",2025,1824.0000,615.0000,1209.0000
'27230," 合备",'3801,"85技",2025,1522.0000,508.0000,1014.0000
'27230," 合备",'3802,"86技",2025,1453.0000,481.0000,972.0000
'27230," 合备",'3803,"87技",2025,1129.0000,394.0000,735.0000
'27230," 合备",'3804,"88技",2025,878.0000,274.0000,604.0000
'27230," 合备",'3805,"89技",2025,760.0000,208.0000,552.0000
'27230," 合备",'4101,"90技",2025,641.0000,184.0000,457.0000
'27230," 合备",'4102,"91技",2025,479.0000,119.0000,360.0000
'27230," 合备",'4103,"92技",2025,369.0000,88.0000,281.0000
'27230," 合备",'4104,"93技",2025,280.0000,67.0000,213.0000
'27230," 合备",'4105,"94技",2025,199.0000,45.0000,154.0000
'27230," 合备",'4301,"95技",2025,139.0000,18.0000,121.0000
'27230," 合备",'4302,"96技",2025,92.0000,14.0000,78.0000
'27230," 合备",'4303,"97技",2025,68.0000,10.0000,58.0000
'27230," 合备",'4304,"98技",2025,45.0000,6.0000,39.0000
'27230," 合备",'4305,"99技",2025,27.0000,3.0000,24.0000
'27230," 合备",'440,"100技 捞惑",2025,48.0000,7.0000,41.0000
'27260," 荐己备",'000,"拌",2025,409222.0000,196563.0000,212659.0000
'27260," 荐己备",'0401,"0技",2025,1469.0000,735.0000,734.0000
'27260," 荐己备",'0402,"1技",2025,1544.0000,750.0000,794.0000
'27260," 荐己备",'0403,"2技",2025,1488.0000,755.0000,733.0000
'27260," 荐己备",'0404,"3技",2025,1902.0000,993.0000,909.0000
'27260," 荐己备",'0405,"4技",2025,2041.0000,1060.0000,981.0000
'27260," 荐己备",'0501,"5技",2025,2174.0000,1119.0000,1055.0000
'27260," 荐己备",'0502,"6技",2025,2871.0000,1496.0000,1375.0000
'27260," 荐己备",'0503,"7技",2025,3240.0000,1701.0000,1539.0000
'27260," 荐己备",'0504,"8技",2025,3606.0000,1854.0000,1752.0000
'27260," 荐己备",'0505,"9技",2025,4100.0000,2136.0000,1964.0000
'27260," 荐己备",'0701,"10技",2025,4470.0000,2324.0000,2146.0000
'27260," 荐己备",'0702,"11技",2025,4580.0000,2357.0000,2223.0000
'27260," 荐己备",'0703,"12技",2025,4773.0000,2438.0000,2335.0000
'27260," 荐己备",'0704,"13技",2025,5236.0000,2743.0000,2493.0000
'27260," 荐己备",'0705,"14技",2025,4923.0000,2525.0000,2398.0000
'27260," 荐己备",'1001,"15技",2025,4710.0000,2454.0000,2256.0000
'27260," 荐己备",'1002,"16技",2025,4506.0000,2360.0000,2146.0000
'27260," 荐己备",'1003,"17技",2025,4829.0000,2531.0000,2298.0000
'27260," 荐己备",'1004,"18技",2025,5017.0000,2592.0000,2425.0000
'27260," 荐己备",'1005,"19技",2025,4335.0000,2307.0000,2028.0000
'27260," 荐己备",'1201,"20技",2025,4003.0000,2168.0000,1835.0000
'27260," 荐己备",'1202,"21技",2025,4134.0000,2264.0000,1870.0000
'27260," 荐己备",'1203,"22技",2025,4321.0000,2368.0000,1953.0000
'27260," 荐己备",'1204,"23技",2025,3963.0000,2087.0000,1876.0000
'27260," 荐己备",'1205,"24技",2025,4456.0000,2405.0000,2051.0000
'27260," 荐己备",'1301,"25技",2025,4754.0000,2538.0000,2216.0000
'27260," 荐己备",'1302,"26技",2025,4371.0000,2371.0000,2000.0000
'27260," 荐己备",'1303,"27技",2025,4225.0000,2198.0000,2027.0000
'27260," 荐己备",'1304,"28技",2025,4286.0000,2162.0000,2124.0000
'27260," 荐己备",'1305,"29技",2025,4341.0000,2206.0000,2135.0000
'27260," 荐己备",'1501,"30技",2025,4357.0000,2247.0000,2110.0000
'27260," 荐己备",'1502,"31技",2025,4263.0000,2208.0000,2055.0000
'27260," 荐己备",'1503,"32技",2025,4241.0000,2200.0000,2041.0000
'27260," 荐己备",'1504,"33技",2025,4343.0000,2257.0000,2086.0000
'27260," 荐己备",'1505,"34技",2025,4326.0000,2209.0000,2117.0000
'27260," 荐己备",'1601,"35技",2025,4037.0000,1995.0000,2042.0000
'27260," 荐己备",'1602,"36技",2025,4192.0000,2062.0000,2130.0000
'27260," 荐己备",'1603,"37技",2025,4001.0000,2025.0000,1976.0000
'27260," 荐己备",'1604,"38技",2025,4293.0000,2070.0000,2223.0000
'27260," 荐己备",'1605,"39技",2025,4433.0000,2166.0000,2267.0000
'27260," 荐己备",'1801,"40技",2025,4759.0000,2322.0000,2437.0000
'27260," 荐己备",'1802,"41技",2025,4988.0000,2301.0000,2687.0000
'27260," 荐己备",'1803,"42技",2025,5832.0000,2689.0000,3143.0000
'27260," 荐己备",'1804,"43技",2025,6621.0000,2968.0000,3653.0000
'27260," 荐己备",'1805,"44技",2025,7035.0000,3211.0000,3824.0000
'27260," 荐己备",'1901,"45技",2025,7041.0000,3245.0000,3796.0000
'27260," 荐己备",'1902,"46技",2025,7253.0000,3338.0000,3915.0000
'27260," 荐己备",'1903,"47技",2025,6167.0000,3016.0000,3151.0000
'27260," 荐己备",'1904,"48技",2025,6691.0000,3088.0000,3603.0000
'27260," 荐己备",'1905,"49技",2025,6793.0000,3208.0000,3585.0000
'27260," 荐己备",'2101,"50技",2025,7031.0000,3220.0000,3811.0000
'27260," 荐己备",'2102,"51技",2025,7215.0000,3372.0000,3843.0000
'27260," 荐己备",'2103,"52技",2025,7639.0000,3530.0000,4109.0000
'27260," 荐己备",'2104,"53技",2025,7708.0000,3579.0000,4129.0000
'27260," 荐己备",'2105,"54技",2025,8068.0000,3802.0000,4266.0000
'27260," 荐己备",'2301,"55技",2025,7835.0000,3668.0000,4167.0000
'27260," 荐己备",'2302,"56技",2025,7701.0000,3627.0000,4074.0000
'27260," 荐己备",'2303,"57技",2025,7568.0000,3654.0000,3914.0000
'27260," 荐己备",'2304,"58技",2025,7208.0000,3402.0000,3806.0000
'27260," 荐己备",'2305,"59技",2025,6194.0000,3079.0000,3115.0000
'27260," 荐己备",'2601,"60技",2025,6567.0000,3086.0000,3481.0000
'27260," 荐己备",'2602,"61技",2025,6430.0000,3083.0000,3347.0000
'27260," 荐己备",'2603,"62技",2025,5938.0000,2829.0000,3109.0000
'27260," 荐己备",'2604,"63技",2025,6275.0000,2987.0000,3288.0000
'27260," 荐己备",'2605,"64技",2025,6290.0000,2986.0000,3304.0000
'27260," 荐己备",'2801,"65技",2025,6241.0000,2965.0000,3276.0000
'27260," 荐己备",'2802,"66技",2025,6088.0000,2828.0000,3260.0000
'27260," 荐己备",'2803,"67技",2025,5227.0000,2463.0000,2764.0000
'27260," 荐己备",'2804,"68技",2025,5409.0000,2439.0000,2970.0000
'27260," 荐己备",'2805,"69技",2025,5048.0000,2363.0000,2685.0000
'27260," 荐己备",'3101,"70技",2025,4996.0000,2224.0000,2772.0000
'27260," 荐己备",'3102,"71技",2025,4102.0000,1972.0000,2130.0000
'27260," 荐己备",'3103,"72技",2025,4054.0000,1779.0000,2275.0000
'27260," 荐己备",'3104,"73技",2025,4184.0000,1841.0000,2343.0000
'27260," 荐己备",'3105,"74技",2025,3155.0000,1347.0000,1808.0000
'27260," 荐己备",'3301,"75技",2025,3252.0000,1398.0000,1854.0000
'27260," 荐己备",'3302,"76技",2025,3243.0000,1417.0000,1826.0000
'27260," 荐己备",'3303,"77技",2025,3172.0000,1302.0000,1870.0000
'27260," 荐己备",'3304,"78技",2025,3071.0000,1318.0000,1753.0000
'27260," 荐己备",'3305,"79技",2025,2143.0000,921.0000,1222.0000
'27260," 荐己备",'3601,"80技",2025,1875.0000,788.0000,1087.0000
'27260," 荐己备",'3602,"81技",2025,2175.0000,882.0000,1293.0000
'27260," 荐己备",'3603,"82技",2025,2249.0000,887.0000,1362.0000
'27260," 荐己备",'3604,"83技",2025,2324.0000,926.0000,1398.0000
'27260," 荐己备",'3605,"84技",2025,1896.0000,721.0000,1175.0000
'27260," 荐己备",'3801,"85技",2025,1587.0000,557.0000,1030.0000
'27260," 荐己备",'3802,"86技",2025,1488.0000,548.0000,940.0000
'27260," 荐己备",'3803,"87技",2025,1274.0000,453.0000,821.0000
'27260," 荐己备",'3804,"88技",2025,1103.0000,372.0000,731.0000
'27260," 荐己备",'3805,"89技",2025,904.0000,307.0000,597.0000
'27260," 荐己备",'4101,"90技",2025,809.0000,237.0000,572.0000
'27260," 荐己备",'4102,"91技",2025,597.0000,185.0000,412.0000
'27260," 荐己备",'4103,"92技",2025,450.0000,134.0000,316.0000
'27260," 荐己备",'4104,"93技",2025,350.0000,100.0000,250.0000
'27260," 荐己备",'4105,"94技",2025,243.0000,61.0000,182.0000
'27260," 荐己备",'4301,"95技",2025,156.0000,32.0000,124.0000
'27260," 荐己备",'4302,"96技",2025,124.0000,29.0000,95.0000
'27260," 荐己备",'4303,"97技",2025,80.0000,18.0000,62.0000
'27260," 荐己备",'4304,"98技",2025,61.0000,9.0000,52.0000
'27260," 荐己备",'4305,"99技",2025,42.0000,7.0000,35.0000
'27260," 荐己备",'440,"100技 捞惑",2025,49.0000,7.0000,42.0000
'27290," 崔辑备",'000,"拌",2025,517059.0000,253088.0000,263971.0000
'27290," 崔辑备",'0401,"0技",2025,2183.0000,1148.0000,1035.0000
'27290," 崔辑备",'0402,"1技",2025,2140.0000,1104.0000,1036.0000
'27290," 崔辑备",'0403,"2技",2025,2048.0000,1055.0000,993.0000
'27290," 崔辑备",'0404,"3技",2025,2116.0000,1071.0000,1045.0000
'27290," 崔辑备",'0405,"4技",2025,2389.0000,1249.0000,1140.0000
'27290," 崔辑备",'0501,"5技",2025,2519.0000,1263.0000,1256.0000
'27290," 崔辑备",'0502,"6技",2025,2955.0000,1540.0000,1415.0000
'27290," 崔辑备",'0503,"7技",2025,3202.0000,1621.0000,1581.0000
'27290," 崔辑备",'0504,"8技",2025,3606.0000,1875.0000,1731.0000
'27290," 崔辑备",'0505,"9技",2025,4278.0000,2223.0000,2055.0000
'27290," 崔辑备",'0701,"10技",2025,4597.0000,2326.0000,2271.0000
'27290," 崔辑备",'0702,"11技",2025,4550.0000,2339.0000,2211.0000
'27290," 崔辑备",'0703,"12技",2025,4493.0000,2246.0000,2247.0000
'27290," 崔辑备",'0704,"13技",2025,5113.0000,2555.0000,2558.0000
'27290," 崔辑备",'0705,"14技",2025,4969.0000,2513.0000,2456.0000
'27290," 崔辑备",'1001,"15技",2025,5065.0000,2621.0000,2444.0000
'27290," 崔辑备",'1002,"16技",2025,4751.0000,2469.0000,2282.0000
'27290," 崔辑备",'1003,"17技",2025,4919.0000,2562.0000,2357.0000
'27290," 崔辑备",'1004,"18技",2025,5433.0000,2743.0000,2690.0000
'27290," 崔辑备",'1005,"19技",2025,4900.0000,2469.0000,2431.0000
'27290," 崔辑备",'1201,"20技",2025,4946.0000,2502.0000,2444.0000
'27290," 崔辑备",'1202,"21技",2025,5333.0000,2737.0000,2596.0000
'27290," 崔辑备",'1203,"22技",2025,5573.0000,2885.0000,2688.0000
'27290," 崔辑备",'1204,"23技",2025,5329.0000,2759.0000,2570.0000
'27290," 崔辑备",'1205,"24技",2025,5918.0000,3162.0000,2756.0000
'27290," 崔辑备",'1301,"25技",2025,6538.0000,3448.0000,3090.0000
'27290," 崔辑备",'1302,"26技",2025,6187.0000,3335.0000,2852.0000
'27290," 崔辑备",'1303,"27技",2025,6103.0000,3289.0000,2814.0000
'27290," 崔辑备",'1304,"28技",2025,6346.0000,3290.0000,3056.0000
'27290," 崔辑备",'1305,"29技",2025,6549.0000,3374.0000,3175.0000
'27290," 崔辑备",'1501,"30技",2025,6699.0000,3562.0000,3137.0000
'27290," 崔辑备",'1502,"31技",2025,6590.0000,3575.0000,3015.0000
'27290," 崔辑备",'1503,"32技",2025,6603.0000,3542.0000,3061.0000
'27290," 崔辑备",'1504,"33技",2025,6682.0000,3614.0000,3068.0000
'27290," 崔辑备",'1505,"34技",2025,6327.0000,3483.0000,2844.0000
'27290," 崔辑备",'1601,"35技",2025,5822.0000,3257.0000,2565.0000
'27290," 崔辑备",'1602,"36技",2025,5786.0000,3085.0000,2701.0000
'27290," 崔辑备",'1603,"37技",2025,5520.0000,2975.0000,2545.0000
'27290," 崔辑备",'1604,"38技",2025,5542.0000,2930.0000,2612.0000
'27290," 崔辑备",'1605,"39技",2025,5557.0000,2965.0000,2592.0000
'27290," 崔辑备",'1801,"40技",2025,5642.0000,2895.0000,2747.0000
'27290," 崔辑备",'1802,"41技",2025,5887.0000,2959.0000,2928.0000
'27290," 崔辑备",'1803,"42技",2025,6737.0000,3391.0000,3346.0000
'27290," 崔辑备",'1804,"43技",2025,7702.0000,3808.0000,3894.0000
'27290," 崔辑备",'1805,"44技",2025,7863.0000,3779.0000,4084.0000
'27290," 崔辑备",'1901,"45技",2025,7803.0000,3818.0000,3985.0000
'27290," 崔辑备",'1902,"46技",2025,8069.0000,3823.0000,4246.0000
'27290," 崔辑备",'1903,"47技",2025,7155.0000,3581.0000,3574.0000
'27290," 崔辑备",'1904,"48技",2025,7767.0000,3756.0000,4011.0000
'27290," 崔辑备",'1905,"49技",2025,7853.0000,3864.0000,3989.0000
'27290," 崔辑备",'2101,"50技",2025,8129.0000,3879.0000,4250.0000
'27290," 崔辑备",'2102,"51技",2025,8746.0000,4303.0000,4443.0000
'27290," 崔辑备",'2103,"52技",2025,9430.0000,4442.0000,4988.0000
'27290," 崔辑备",'2104,"53技",2025,9412.0000,4526.0000,4886.0000
'27290," 崔辑备",'2105,"54技",2025,10060.0000,4778.0000,5282.0000
'27290," 崔辑备",'2301,"55技",2025,9752.0000,4715.0000,5037.0000
'27290," 崔辑备",'2302,"56技",2025,10133.0000,4808.0000,5325.0000
'27290," 崔辑备",'2303,"57技",2025,10392.0000,4949.0000,5443.0000
'27290," 崔辑备",'2304,"58技",2025,9779.0000,4548.0000,5231.0000
'27290," 崔辑备",'2305,"59技",2025,8998.0000,4438.0000,4560.0000
'27290," 崔辑备",'2601,"60技",2025,9367.0000,4366.0000,5001.0000
'27290," 崔辑备",'2602,"61技",2025,9072.0000,4343.0000,4729.0000
'27290," 崔辑备",'2603,"62技",2025,8621.0000,4169.0000,4452.0000
'27290," 崔辑备",'2604,"63技",2025,9579.0000,4614.0000,4965.0000
'27290," 崔辑备",'2605,"64技",2025,9868.0000,4707.0000,5161.0000
'27290," 崔辑备",'2801,"65技",2025,9361.0000,4395.0000,4966.0000
'27290," 崔辑备",'2802,"66技",2025,9059.0000,4235.0000,4824.0000
'27290," 崔辑备",'2803,"67技",2025,7295.0000,3516.0000,3779.0000
'27290," 崔辑备",'2804,"68技",2025,7530.0000,3614.0000,3916.0000
'27290," 崔辑备",'2805,"69技",2025,6737.0000,3282.0000,3455.0000
'27290," 崔辑备",'3101,"70技",2025,6904.0000,3115.0000,3789.0000
'27290," 崔辑备",'3102,"71技",2025,5571.0000,2680.0000,2891.0000
'27290," 崔辑备",'3103,"72技",2025,5225.0000,2350.0000,2875.0000
'27290," 崔辑备",'3104,"73技",2025,5621.0000,2458.0000,3163.0000
'27290," 崔辑备",'3105,"74技",2025,4120.0000,1898.0000,2222.0000
'27290," 崔辑备",'3301,"75技",2025,4029.0000,1800.0000,2229.0000
'27290," 崔辑备",'3302,"76技",2025,3986.0000,1769.0000,2217.0000
'27290," 崔辑备",'3303,"77技",2025,3870.0000,1733.0000,2137.0000
'27290," 崔辑备",'3304,"78技",2025,3636.0000,1556.0000,2080.0000
'27290," 崔辑备",'3305,"79技",2025,2512.0000,1128.0000,1384.0000
'27290," 崔辑备",'3601,"80技",2025,2143.0000,887.0000,1256.0000
'27290," 崔辑备",'3602,"81技",2025,2401.0000,965.0000,1436.0000
'27290," 崔辑备",'3603,"82技",2025,2441.0000,967.0000,1474.0000
'27290," 崔辑备",'3604,"83技",2025,2739.0000,1037.0000,1702.0000
'27290," 崔辑备",'3605,"84技",2025,2107.0000,756.0000,1351.0000
'27290," 崔辑备",'3801,"85技",2025,1734.0000,605.0000,1129.0000
'27290," 崔辑备",'3802,"86技",2025,1733.0000,564.0000,1169.0000
'27290," 崔辑备",'3803,"87技",2025,1354.0000,457.0000,897.0000
'27290," 崔辑备",'3804,"88技",2025,1129.0000,322.0000,807.0000
'27290," 崔辑备",'3805,"89技",2025,983.0000,300.0000,683.0000
'27290," 崔辑备",'4101,"90技",2025,807.0000,208.0000,599.0000
'27290," 崔辑备",'4102,"91技",2025,572.0000,155.0000,417.0000
'27290," 崔辑备",'4103,"92技",2025,411.0000,98.0000,313.0000
'27290," 崔辑备",'4104,"93技",2025,344.0000,75.0000,269.0000
'27290," 崔辑备",'4105,"94技",2025,230.0000,57.0000,173.0000
'27290," 崔辑备",'4301,"95技",2025,174.0000,30.0000,144.0000
'27290," 崔辑备",'4302,"96技",2025,120.0000,25.0000,95.0000
'27290," 崔辑备",'4303,"97技",2025,79.0000,9.0000,70.0000
'27290," 崔辑备",'4304,"98技",2025,37.0000,4.0000,33.0000
'27290," 崔辑备",'4305,"99技",2025,25.0000,5.0000,20.0000
'27290," 崔辑备",'440,"100技 捞惑",2025,48.0000,13.0000,35.0000
'27710," 崔己焙",'000,"拌",2025,254659.0000,128994.0000,125665.0000
'27710," 崔己焙",'0401,"0技",2025,1440.0000,749.0000,691.0000
'27710," 崔己焙",'0402,"1技",2025,1506.0000,757.0000,749.0000
'27710," 崔己焙",'0403,"2技",2025,1542.0000,775.0000,767.0000
'27710," 崔己焙",'0404,"3技",2025,1703.0000,840.0000,863.0000
'27710," 崔己焙",'0405,"4技",2025,1892.0000,960.0000,932.0000
'27710," 崔己焙",'0501,"5技",2025,2038.0000,1041.0000,997.0000
'27710," 崔己焙",'0502,"6技",2025,2368.0000,1228.0000,1140.0000
'27710," 崔己焙",'0503,"7技",2025,2437.0000,1213.0000,1224.0000
'27710," 崔己焙",'0504,"8技",2025,2736.0000,1388.0000,1348.0000
'27710," 崔己焙",'0505,"9技",2025,2936.0000,1484.0000,1452.0000
'27710," 崔己焙",'0701,"10技",2025,3049.0000,1547.0000,1502.0000
'27710," 崔己焙",'0702,"11技",2025,3015.0000,1540.0000,1475.0000
